Line #,Key,en Version,ka Translation
56,ka.activerecord.attributes.illustration.title,Title,Title
57,ka.activerecord.attributes.illustration.context,Context,Context
58,ka.activerecord.attributes.illustration.illustration_annotation,Annotation,Annotation
59,ka.activerecord.attributes.illustration.illustration_annotations,Annotations,Annotations
60,ka.activerecord.attributes.illustration.person_role,Person,Person
61,ka.activerecord.attributes.illustration/translation.is_public,Is Public?,Is Public?
62,ka.activerecord.attributes.illustration/translation.published_at,Date Made Public,Date Made Public
63,ka.activerecord.attributes.illustration/translation.title,Title,Title
64,ka.activerecord.attributes.illustration/translation.context,Context,Context
65,ka.activerecord.attributes.illustration_annotations.sort,Sort,Sort
66,ka.activerecord.attributes.illustration_annotations.annotation,Annotation,Annotation
67,ka.activerecord.attributes.illustration_issue.illustration_id,Image,Image
68,ka.activerecord.attributes.illustration_issue.issue_id,Issue,Issue
69,ka.activerecord.attributes.illustration_issue.page_number_start,Page Number Start,Page Number Start
70,ka.activerecord.attributes.illustration_issue.page_number_end,Page Number End,Page Number End
71,ka.activerecord.attributes.illustration_issue.is_public,,
72,ka.activerecord.attributes.illustration_publication.illustration_id,Image,Image
73,ka.activerecord.attributes.illustration_publication.publication_id,Source,Source
74,ka.activerecord.attributes.illustration_publication.page_number_start,Page Number Start,Page Number Start
75,ka.activerecord.attributes.illustration_publication.page_number_end,Page Number End,Page Number End
76,ka.activerecord.attributes.illustration_publication.is_public,Is Public?,Is Public?
77,ka.activerecord.attributes.illustration_tag.illustration_id,Image,Image
78,ka.activerecord.attributes.illustration_tag.tag_id,Tag,Tag
79,ka.activerecord.attributes.issue.publication,Journal,Journal
80,ka.activerecord.attributes.issue.publication_id,Journal,Journal
81,ka.activerecord.attributes.issue.issue_number,Issue Number,Issue Number
